-0.2,0.001634
-0.19344,0.0016126
-0.18525,0.0032198
-0.17459,0.0048189
-0.16311,0.0047814
-0.14918,0.0031019
-0.12295,0.0046502
-0.10574,0.0029599
-0.091803,0.012718
-0.098361,0.0062038
-0.085246,0.020867
-0.078689,0.029015
-0.07377,0.037169
-0.068033,0.048588
-0.063115,0.061644
-0.058197,0.084504
-0.052459,0.11063
-0.047541,0.14166
-0.041803,0.18086
-0.036885,0.22496
-0.031148,0.27723
-0.02541,0.32949
-0.020492,0.3932
-0.015574,0.46508
-0.0090164,0.58271
-0.0032787,0.73138
0.00081967,0.84738
0.0065574,0.76893
0.0098361,0.56467
0.016393,0.4421
0.022951,0.35548
0.027049,0.27704
0.032787,0.2231
0.038525,0.18223
0.044262,0.14299
0.048361,0.1201
0.052459,0.10212
0.059016,0.090657
0.064754,0.080834
0.071311,0.075911
0.081148,0.067709
0.085246,0.061159
0.090164,0.061143
0.098361,0.059482
0.10738,0.057819
0.11311,0.054532
0.11721,0.057787
0.12459,0.054495
0.13361,0.043027
0.14508,0.046258
0.15246,0.039698
0.1623,0.034764
0.17131,0.0331
0.18279,0.029795
0.19344,0.026492
0.2,0.023203
0.21066,0.0199
0.22541,0.016584
0.24344,0.013257
0.25984,0.0099352
0.27623,0.0033457
0.29098,0.0016635
0.29836,0.0032733
