-0.15327,0.0046095
-0.14507,0.0094658
-0.13851,0.014333
-0.13113,0.020831
-0.12539,0.028977
-0.11718,0.04038
-0.10897,0.055056
-0.10158,0.069737
-0.094192,0.086056
-0.085976,0.10892
-0.078581,0.13178
-0.073648,0.14975
-0.068712,0.171
-0.063777,0.19224
-0.05802,0.21512
-0.054726,0.23473
-0.049785,0.26252
-0.045669,0.28377
-0.039085,0.31646
-0.036599,0.34918
-0.032474,0.38189
-0.029163,0.42115
-0.025038,0.45385
-0.020899,0.50292
-0.017582,0.55037
-0.012602,0.62562
-0.0092562,0.70743
-0.0042631,0.79905
-0.00012315,0.84976
0.0023479,0.86447
0.0064382,0.85463
0.0096713,0.79896
0.012869,0.70074
0.013627,0.62545
0.018485,0.55177
0.020064,0.47811
0.024094,0.39461
0.029767,0.31601
0.037097,0.25868
0.048528,0.2046
0.060787,0.16033
0.080436,0.13238
0.099279,0.1208
0.12468,0.10754
0.14926,0.099192
0.17876,0.085905
0.20334,0.069378
0.22464,0.056145
0.25495,0.037944
0.29346,0.024598
