x,Curve1
-0.573668,0.00726524
-0.56877,-0.0699673
-0.56828,0.0948095
-0.55882,-0.17294
-0.542455,0.156634
-0.538567,-0.260451
-0.497618,-0.286144
-0.475635,0.208212
-0.441284,-0.311818
-0.408861,0.244343
-0.390047,-0.3272
-0.380005,-0.399276
-0.352405,0.259864
-0.349481,-0.481625
-0.31369,-0.517624
-0.265164,0.280573
-0.257387,-0.553596
-0.211386,-0.60503
-0.18824,0.280672
-0.134539,-0.630677
-0.116338,0.316809
-0.0680561,-0.692382
-0.0649792,0.342622
0.0242519,-0.692264
0.0273135,0.337591
0.104268,0.347989
0.12674,-0.717878
0.181298,0.384133
0.213843,-0.743512
0.242944,0.420257
0.278995,0.471796
0.285485,-0.794912
0.391907,0.502837
0.413614,-0.820494
0.515138,0.554488
0.541789,-0.830627
0.613385,-0.897475
0.64864,0.611301
0.726069,-0.943674
0.792705,-0.953886
0.859142,0.69396
0.859418,-0.938353
0.956793,-0.958824
1.0696,-0.963828
1.13117,0.771549
1.16197,-0.943112
1.24899,-0.994493
1.43863,-1.03029
1.53662,0.880206
1.6181,-1.03521
1.71046,-1.01965
1.82329,-1.01435
1.98303,0.968318
1.99236,-1.07077
2.141,-1.09633
2.2077,-1.08595
2.28981,-1.06524
2.39224,-1.11145
2.51533,-1.10615
2.55254,1.06174
2.6024,-1.14208
2.76644,-1.16246
2.85875,-1.16235
2.89626,1.10337
2.96138,-1.14162
