x,Curve1
-0.641703,0.41146
-0.63583,0.458563
-0.594714,0.346774
-0.58884,0.488067
-0.553598,0.517553
-0.535977,0.276218
-0.477239,0.22921
-0.406755,0.44124
-0.400881,0.146906
-0.330396,0.0822546
-0.312775,0.40017
-0.28928,-0.176706
-0.277533,-0.0942731
-0.242291,0.0176289
-0.22467,0.359092
-0.212922,-0.247236
-0.154185,-0.388434
-0.113069,0.329822
-0.071953,-0.50605
-0.0484581,0.329917
0.0220264,-0.605988
0.0631424,0.353629
0.12188,0.389036
0.145374,-0.723544
0.204112,0.436252
0.245228,-0.82936
0.262849,0.465773
0.356828,-0.905725
0.427313,0.536657
0.43906,-0.958585
0.474302,-1.08216
0.503671,0.583864
0.574156,0.607515
0.603524,-1.22325
0.668135,-1.19961
0.762115,0.660774
0.797357,-1.16998
0.873715,-1.12866
0.967695,-1.12853
1.06167,-1.09307
1.0793,0.767204
1.10279,-1.0047
1.14391,-0.963435
1.22614,-1.00452
1.32599,-1.05736
1.44347,0.850156
1.44934,-1.03951
1.57856,-1.05698
1.65492,-1.02155
1.79001,-1.02724
1.91924,-1.0506
2.0837,-1.07979
2.2188,-1.08548
2.29515,-1.05593
2.37739,-1.08524
2.40088,1.03994
2.50073,-1.13216
2.60059,-1.17322
2.70631,-1.16718
2.80029,-1.11994
2.85903,1.0936
2.90015,-1.11391
3.06461,-1.1431
3.18209,-1.17236
3.3583,-1.15444
3.38179,1.15324
