0.997756	-0.001541
0.994376	-0.001906
0.990925	-0.002285
0.987401	-0.002684
0.983803	-0.003104
0.980129	-0.003543
0.976376	-0.003986
0.972543	-0.004428
0.968627	-0.004872
0.964626	-0.005316
0.960541	-0.005765
0.956370	-0.006225
0.952112	-0.006694
0.947764	-0.007172
0.943325	-0.007659
0.938794	-0.008152
0.934168	-0.008652
0.929446	-0.009159
0.924626	-0.009672
0.919707	-0.010191
0.914686	-0.010717
0.909562	-0.011248
0.904334	-0.011786
0.898999	-0.012329
0.893556	-0.012879
0.888003	-0.013434
0.882338	-0.013998
0.876560	-0.014570
0.870668	-0.015152
0.864658	-0.015745
0.858531	-0.016350
0.852283	-0.016965
0.845914	-0.017585
0.839419	-0.018203
0.832799	-0.018819
0.826050	-0.019435
0.819172	-0.020048
0.812162	-0.020661
0.805020	-0.021280
0.797745	-0.021912
0.790334	-0.022559
0.782788	-0.023219
0.775104	-0.023893
0.767280	-0.024577
0.759314	-0.025261
0.751205	-0.025941
0.742951	-0.026616
0.734550	-0.027283
0.726002	-0.027939
0.717306	-0.028594
0.708462	-0.029259
0.699468	-0.029935
0.690325	-0.030622
0.681032	-0.031318
0.671587	-0.032017
0.661990	-0.032710
0.652239	-0.033391
0.642334	-0.034060
0.632276	-0.034711
0.622064	-0.035347
0.611700	-0.035977
0.601184	-0.036606
0.590517	-0.037230
0.579700	-0.037847
0.568734	-0.038458
0.557619	-0.039059
0.546359	-0.039649
0.534954	-0.040228
0.523408	-0.040793
0.511721	-0.041336
0.499897	-0.041850
0.487939	-0.042331
0.475851	-0.042775
0.463636	-0.043183
0.451300	-0.043558
0.438847	-0.043902
0.426284	-0.044210
0.413615	-0.044478
0.400847	-0.044704
0.387987	-0.044882
0.375044	-0.045009
0.362025	-0.045083
0.348939	-0.045100
0.335796	-0.045059
0.322608	-0.044955
0.309384	-0.044776
0.296139	-0.044509
0.282886	-0.044146
0.269638	-0.043687
0.256560	-0.043150
0.243948	-0.042563
0.231928	-0.041946
0.220476	-0.041284
0.209567	-0.040547
0.199176	-0.039746
0.189280	-0.038911
